0, 39
1, 38
2, 37
3, 36
4, 35
5, 34
6, 33
7, 32
8, 31
9, 30
10, 29
11, 28
12, 27
13, 26
14, 25
15, 24
16, 23
17, 22
18, 21
19, 20
21, 22
23, 24
25, 26
27, 28
29, 30
31, 32
33, 34
35, 36
37, 38
21, 23
25, 27
29, 31
33, 35
37, 39
21, 25
29, 33
21, 29
21, 37
20, 22
23, 24
25, 26
27, 28
29, 30
31, 32
33, 34
35, 36
37, 38
20, 23
25, 27
29, 31
33, 35
37, 39
20, 25
29, 33
20, 29
20, 37
0, 21
1, 20
2, 19
3, 18
4, 17
5, 16
6, 15
7, 14
8, 13
9, 12
10, 11
12, 13
14, 15
16, 17
18, 19
20, 21
12, 14
16, 18
12, 16
12, 20
11, 13
14, 15
16, 17
18, 19
20, 21
11, 14
16, 18
11, 16
11, 20
1, 12
2, 11
3, 10
4, 9
5, 8
6, 7
8, 9
10, 11
8, 10
8, 12
7, 9
10, 11
7, 10
7, 12
0, 7
1, 6
2, 5
3, 4
1, 2
0, 2
1, 3
0, 3
3, 8
4, 7
5, 6
6, 7
6, 8
4, 5
2, 3
3, 5
4, 6
2, 3
3, 6
